"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Lists the number of facilities in the state with patient transfusions categorized as ""Better than expected""","Lists the number of facilities in the state with patient transfusions categorized as ""As expected""","Lists the number of facilities in the state with patient transfusions categorized as ""Worse than expected""","Percentage of adult HD patients with Kt/V >=1.2","Percentage of adult PD PTS with Kt/V >=1.7","Percentage of pediatric HD patients with Kt/V >=1.2","Percentage of patients with arteriovenous fistulae in place","Percentage of patients with vascular catheter in use for 90 days or longer","Lists the percentage of adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Lists the percentage of adult patients with serum phosphorus less than 3.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 3.5-4.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 4.6-5.5 mg/dL","Lists the percentage of adult patients with serum phosphorus between 5.6-7.0 mg/dL","Lists the percentage of adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected","Hospitalizations - As expected","Hospitalizations - Worse than expected","Number of facilities in the state with patient hospital readmissions categorized as "Better than expected"","Number of facilities in the state with patient hospital readmissions categorized as "As expected"","Number of facilities in the state with patient hospital readmissions categorized as "Worse than expected"","Survival - Better than expected","Survival - As expected","Survival - Worse than expected"
"NC","13","0","0","174","9","92","88","76","64","9","2","10","26","31","22","12","0","189","0","5","184","1","7","168","11"
"ND","25","0","0","12","1","91","49","","71","10","2","11","28","28","22","11","0","13","0","0","12","0","2","14","0"
"NE","12","1","0","30","2","95","81","70","64","12","2","9","28","32","20","11","0","36","0","1","30","0","2","34","0"
"NH","16","0","0","14","0","90","91","","72","13","3","8","24","28","26","15","0","17","0","1","16","0","0","16","0"
"NJ","14","0","2","129","2","92","83","93","65","11","2","11","28","30","21","10","1","141","0","2","134","8","12","114","10"
"NM","9","0","3","33","1","93","83","80","74","9","2","9","25","28","24","14","3","35","0","5","31","1","7","23","8"
"NV","15","0","0","40","2","89","88","53","66","10","2","9","28","32","20","11","0","43","0","3","40","0","0","43","0"
"NY","18","0","4","216","9","93","77","82","67","12","2","11","26","29","23","11","0","235","11","3","226","19","44","175","25"
"OH","16","0","0","208","26","94","85","100","60","12","2","9","26","30","23","12","0","249","17","3","251","11","24","219","16"
"OK","14","1","0","72","2","92","84","85","72","12","2","8","25","30","22","15","0","76","0","2","72","2","10","62","5"
"OR","9","0","0","52","1","92","89","90","70","9","2","8","27","31","22","12","0","57","2","1","57","0","4","53","1"
"PA","15","0","0","205","30","93","83","94","64","11","2","10","29","31","20","10","0","232","30","1","251","11","31","211","14"
"PR","8","0","0","31","5","84","77","0","57","19","4","12","28","28","23","9","1","32","6","2","36","1","0","12","28"
"RI","28","0","0","12","2","96","87","100","71","11","3","8","23","28","26","15","0","14","1","0","15","0","3","12","0"
"SC","16","0","1","120","4","91","85","95","57","8","2","10","26","29","22","13","2","122","2","3","122","2","7","106","12"
"SD","18","0","0","17","0","92","77","100","71","8","1","9","26","30","23","12","0","19","0","0","16","0","6","14","0"
"TN","14","0","0","139","20","93","87","89","63","12","2","8","25","31","22","14","0","157","6","3","155","4","4","151","8"
"TX","14","0","3","468","32","93","86","82","64","9","2","9","26","31","21","13","5","503","19","17","507","6","25","428","65"
"UT","22","0","0","32","0","95","88","63","74","8","2","7","24","28","26","15","0","36","0","0","34","0","1","32","3"
"VA","17","0","0","131","9","93","85","78","63","12","2","9","27","31","21","12","0","148","0","1","142","4","4","127","14"
"VI","32","1","0","3","0","90","","0","57","10","3","17","29","26","21","7","0","3","0","0","3","0","0","3","0"
"VT","21","0","0","6","0","95","60","","66","16","2","4","24","33","26","13","0","8","0","0","7","0","0","7","1"
"WA","12","0","0","75","0","93","89","81","73","9","2","8","25","29","23","14","0","79","2","1","79","1","3","70","4"
"WI","16","0","0","95","6","93","79","74","68","12","1","10","28","31","20","11","0","107","1","1","105","1","10","93","3"
"WV","15","0","0","25","8","89","79","100","61","14","2","10","26","28","23","13","0","31","3","0","34","1","1","29","4"
"WY","17","1","0","7","0","90","67","75","69","9","3","10","24","27","25","13","0","9","0","0","6","0","0","9","0"
