"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb>12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of adult HD patients with Kt/V>=1.2","Percentage of adult PD patients with Kt/V>=1.7","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of patients with arteriovenous fistulae in use","Percentage of patients with vascular catheter in use for 90 days or longer","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations- Better than expected (State)","Hospitalizations- As expected (State)","Hospitalizations- Worse than expected (State)","Hospital Readmission - Better than expected (State) ","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)"
"SC","20","0","0","121","10","95","91","100","63","60","10","1","10","26","29","22","14","1","133","5","1","133","4","3","115","14"
"SD","28","0","0","16","1","94","83","","","70","12","1","8","27","30","23","13","1","21","0","1","18","0","4","16","1"
"TN","16","0","0","150","14","95","90","85","34","66","13","1","8","25","30","21","15","0","165","9","2","169","3","8","152","12"
"TX","15","0","2","495","47","95","87","94","79","65","10","1","8","25","31","21","14","4","540","33","17","554","8","19","490","61"
"UT","23","0","0","32","1","97","92","97","22","78","8","1","7","23","28","26","15","0","36","0","2","32","0","1","32","3"
"VA","19","0","1","147","7","95","92","84","39","65","13","1","9","26","32","21","13","0","164","1","3","158","3","9","132","16"
"VI","44","1","0","3","0","93","","","","58","8","1","16","29","27","21","7","0","5","0","0","3","0","0","4","0"
"VT","22","0","0","6","0","95","58","","","68","17","1","5","27","30","26","13","0","7","0","0","7","0","1","6","1"
"WA","12","0","0","78","0","96","91","96","75","75","10","1","8","24","29","24","16","1","82","0","4","75","1","4","74","3"
"WI","17","0","0","101","3","96","92","90","40","69","14","1","9","27","31","21","11","0","116","1","3","106","2","14","97","5"
"WV","19","0","1","23","8","95","94","100","23","63","17","1","9","27","28","23","13","0","34","2","1","36","0","1","29","5"
"WY","11","1","0","8","0","96","83","100","","69","11","1","9","23","28","26","14","0","9","0","1","5","0","1","8","0"
