"State","Percentage of patients with Hgb<10 g/dL","Percentage of patients with Hgb> 12 g/dL","Transfusions- Better than expected (State)","Transfusions- As expected (State)","Transfusions- Worse than expected (State)","Percentage of pediatric HD patients with Kt/V>=1.2","Percentage of pediatric PD patients with Kt/V>=1.8","Percentage of adult PD patients with Kt/V>=1.7","Percentage of adult HD patients with Kt/V>=1.2","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","Hospitalizations - Better than expected (State)","Hospitalizations - As expected (State)","Hospitalizations - Worse than expected (State)","Hospital Readmission - Better than expected (State)","Hospital Readmission - As expected (State)","Hospital Readmission - Worse than expected (State)","Survival- Better than expected (State)","Survival- As expected (State)","Survival- Worse than expected (State)","Fistula Rate - Better than expected (State)","Fistula Rate - As expected (State)","Fistula Rate - Worse than expected (State)","Percentage of Adult patients with long term catheter in use","Percentage of pediatric HD patients with nPCR in use","Infection - Better than expected (State)","Infection - As expected (State)","Infection - Worse than expected (State)"
"RI","25","0","0","14","1","100","","86","99","1","7","23","28","27","15","0","15","0","0","15","0","1","14","0","3","13","0","9","","1","14","0"
"SC","19","0","0","70","13","94","45","91","96","2","10","25","29","23","14","0","89","0","2","84","4","2","77","9","0","82","5","10","","27","101","7"
"SD","23","0","0","16","0","100","80","83","95","2","8","26","32","21","13","3","21","0","0","22","0","3","19","1","1","25","1","19","","3","15","2"
"TN","17","0","0","155","14","63","59","92","96","2","8","24","30","23","16","0","172","4","1","172","5","3","156","15","5","168","7","13","","26","125","11"
"TX","16","0","2","456","29","91","74","89","96","2","8","24","31","22","15","2","503","22","20","501","10","19","436","46","15","507","29","14","","104","422","31"
"UT","21","1","0","33","1","100","84","92","98","2","7","23","29","25","16","1","38","0","3","34","0","1","32","6","8","31","1","12","","3","29","5"
"VA","17","0","0","149","14","90","62","94","97","2","9","26","31","21","13","1","174","2","5","168","4","12","146","9","3","169","6","13","","27","130","5"
"VI","58","0","0","0","0","","","","86","4","12","30","27","22","9","0","1","0","0","0","0","0","1","0","0","0","1","21","","0","0","0"
"VT","27","0","0","7","0","75","","58","97","4","6","23","30","27","15","1","7","0","1","7","0","0","7","1","0","8","0","19","","0","6","2"
"WA","14","0","0","84","2","96","84","91","96","2","7","23","29","24","17","0","90","0","4","85","0","5","83","2","5","86","1","12","","10","72","2"
"WI","17","0","1","100","3","95","42","92","96","2","9","26","31","21","12","1","120","0","1","116","0","19","97","3","5","113","2","15","","8","100","9"
"WV","18","0","0","27","9","0","100","95","96","1","9","26","28","23","14","0","40","1","0","40","2","0","39","2","0","43","1","19","","9","27","3"
"WY","11","0","0","8","0","","","98","97","2","8","24","25","27","16","0","10","0","1","7","0","2","6","1","0","10","0","12","","1","5","1"
